epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,59.0989,1.24141,1.8085,1.31919,0.8141,0.72356,0.8208,0.53947,1.14405,1.28133,1.18448,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,109.302,1.13643,1.05638,1.19078,0.80214,0.66471,0.76095,0.50484,1.18241,1.26741,1.23979,0.019759,0.00658632,0.019759,0.00658632,0.019759,0.00658632,0.019759,0.00658632
3,159.29,1.19236,1.03545,1.22528,0.47452,0.48727,0.45878,0.23993,1.63433,7.0885,1.61239,0.0293634,0.00978779,0.0293634,0.00978779,0.0293634,0.00978779,0.0293634,0.00978779
4,209.767,1.25694,1.08222,1.27204,0.77862,0.72129,0.79042,0.47202,1.37257,1.1991,1.36602,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,259.272,1.19787,0.99695,1.24224,0.79052,0.749,0.8247,0.53687,1.18898,1.13514,1.24848,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,309.011,1.1683,0.93783,1.22377,0.85973,0.77778,0.86134,0.51539,1.31739,0.95287,1.34528,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,358.949,1.12981,0.89777,1.20386,0.85484,0.78548,0.86789,0.58405,1.12321,0.91011,1.19764,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,408.583,1.11525,0.87894,1.19409,0.86934,0.83722,0.90921,0.63786,1.03105,0.71096,1.13816,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,458.492,1.09126,0.83687,1.17798,0.87892,0.80374,0.89323,0.6257,1.039,0.74122,1.14504,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,509.024,1.07682,0.81616,1.1731,0.88693,0.8199,0.90872,0.65317,0.9883,0.68974,1.1104,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,559.064,1.05322,0.79137,1.15762,0.87636,0.84163,0.91202,0.64774,1.01816,0.68552,1.12733,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,608.915,1.03963,0.77098,1.14993,0.86909,0.85217,0.91579,0.66267,0.98526,0.66883,1.1079,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,658.358,1.03078,0.76849,1.1474,0.88529,0.84442,0.92295,0.66676,0.98304,0.67023,1.10014,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,707.924,1.02206,0.74987,1.1361,0.87495,0.85454,0.92457,0.67666,0.95408,0.68771,1.08833,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,756.992,1.01075,0.73578,1.13285,0.89229,0.86787,0.93644,0.69158,0.93697,0.6307,1.08107,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,806.488,1.00067,0.71814,1.12692,0.91072,0.8557,0.93528,0.7007,0.90361,0.59701,1.05607,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,855.424,0.98617,0.71245,1.12068,0.90512,0.85688,0.93316,0.68686,0.94073,0.60579,1.08371,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,904.431,0.98687,0.70589,1.11874,0.89765,0.85836,0.92963,0.69181,0.92182,0.61709,1.05539,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,954.756,0.98237,0.69852,1.11184,0.90469,0.85644,0.93407,0.68843,0.95207,0.6055,1.07678,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1005.71,0.97408,0.69005,1.107,0.91523,0.86939,0.94072,0.70611,0.90535,0.56778,1.05001,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1056.79,0.96321,0.6832,1.10484,0.90475,0.88576,0.94419,0.70955,0.89823,0.5701,1.04511,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1106.63,0.95827,0.67575,1.10309,0.90016,0.88391,0.94013,0.71606,0.88101,0.56845,1.03762,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1157.19,0.95629,0.67435,1.09963,0.92046,0.88225,0.95014,0.7169,0.88964,0.54239,1.03547,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1208.29,0.94265,0.65596,1.08671,0.91203,0.8915,0.95038,0.72548,0.86498,0.5298,1.02359,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1258.74,0.94266,0.65825,1.09104,0.90036,0.89685,0.94702,0.72134,0.86372,0.54141,1.02828,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1309.03,0.93225,0.65027,1.0886,0.92113,0.88779,0.94841,0.72711,0.85736,0.52884,1.02667,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1358.95,0.92849,0.63869,1.08146,0.91274,0.89674,0.95007,0.72772,0.86372,0.52146,1.0252,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1408.16,0.91724,0.62794,1.07728,0.91217,0.89465,0.95356,0.72545,0.86785,0.52266,1.02873,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1457.25,0.9173,0.62814,1.07754,0.90641,0.90647,0.95255,0.73149,0.85404,0.52137,1.01542,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1507.3,0.91038,0.62324,1.07133,0.9185,0.89892,0.95516,0.74132,0.83213,0.5072,1.00771,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1556.39,0.90882,0.61699,1.07097,0.92479,0.90139,0.95616,0.74593,0.81862,0.49148,0.99861,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1606.55,0.89459,0.60691,1.0681,0.91808,0.90613,0.95657,0.73564,0.84531,0.49821,1.01399,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1656,0.89643,0.60793,1.07337,0.9216,0.90264,0.95449,0.7428,0.82922,0.49134,1.00568,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1706.14,0.8904,0.59842,1.06701,0.92106,0.89478,0.9518,0.73922,0.83687,0.49357,1.00873,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1756.23,0.88515,0.59624,1.06252,0.91941,0.90474,0.95649,0.74064,0.83367,0.48202,1.00628,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1806.48,0.88452,0.59611,1.06164,0.92391,0.90451,0.95967,0.74925,0.81689,0.47954,1.00366,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1855.91,0.88315,0.59444,1.06357,0.91982,0.91046,0.9583,0.75308,0.80389,0.47794,0.98987,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1907.04,0.87491,0.58433,1.05898,0.91898,0.91091,0.95857,0.74893,0.8144,0.47985,0.9983,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1958.69,0.87216,0.58429,1.05425,0.91779,0.91026,0.95954,0.75549,0.80205,0.47405,0.99113,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2009.84,0.87021,0.57683,1.0501,0.92834,0.90317,0.95845,0.75002,0.81566,0.46951,0.99749,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2060.4,0.86535,0.57778,1.05152,0.92671,0.90166,0.95893,0.7551,0.80228,0.46718,0.99312,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2111.71,0.86154,0.57492,1.05327,0.92831,0.90664,0.95997,0.75233,0.81631,0.46628,1.00726,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2162.34,0.85655,0.56681,1.04605,0.92427,0.90711,0.9609,0.7587,0.79463,0.464,0.98818,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2211.86,0.85019,0.55803,1.04301,0.91965,0.91558,0.96095,0.75831,0.79668,0.45906,0.98688,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2261.51,0.85604,0.56463,1.04374,0.92533,0.91481,0.96009,0.75755,0.79735,0.45274,0.98332,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
