epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,61.5226,1.24671,1.81983,1.32935,0.78878,0.76138,0.82881,0.55389,1.12157,1.25928,1.18054,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,113.908,1.13314,1.0564,1.19006,0.81353,0.74751,0.83385,0.55003,1.12898,1.14419,1.19041,0.019759,0.00658632,0.019759,0.00658632,0.019759,0.00658632,0.019759,0.00658632
3,164.715,1.20175,1.04569,1.23032,0.69113,0.56345,0.64327,0.36095,1.52394,1.56759,1.50675,0.0293634,0.00978779,0.0293634,0.00978779,0.0293634,0.00978779,0.0293634,0.00978779
4,216.428,1.25787,1.08122,1.26929,0.7377,0.65706,0.7186,0.42859,1.3497,1.58081,1.38186,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,266.724,1.21592,1.01669,1.24986,0.78186,0.70031,0.79421,0.50172,1.24354,1.20721,1.29429,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,316.908,1.16643,0.94172,1.22417,0.78871,0.69432,0.7775,0.43982,1.42751,1.12881,1.43204,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,367.884,1.14924,0.91871,1.21224,0.84255,0.81327,0.8827,0.58508,1.16218,0.82076,1.22786,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,418.109,1.12077,0.87727,1.19568,0.84325,0.81564,0.89128,0.62305,1.03994,0.78692,1.13612,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,468.956,1.09505,0.84727,1.17624,0.88365,0.83468,0.91066,0.62973,1.06294,0.72684,1.14893,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,519.049,1.0847,0.82861,1.17277,0.87592,0.81741,0.89724,0.63622,1.02626,0.75331,1.13295,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,569.854,1.06222,0.80645,1.16258,0.8792,0.83229,0.90962,0.65269,1.00248,0.69496,1.11725,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,619.443,1.0562,0.79214,1.1553,0.88623,0.8417,0.91794,0.67233,0.95978,0.66936,1.09017,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,669.069,1.03445,0.76949,1.14816,0.86935,0.86192,0.92095,0.66459,0.98261,0.658,1.10208,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,718.59,1.02263,0.75048,1.13833,0.89198,0.8421,0.91845,0.67162,0.95955,0.64488,1.08233,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,769.147,1.01804,0.73634,1.13379,0.8944,0.85692,0.93119,0.68331,0.95635,0.63275,1.08508,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,819.463,1.01548,0.73991,1.13536,0.89723,0.8576,0.92949,0.67587,0.96449,0.66052,1.09356,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,870.28,0.99955,0.72432,1.13299,0.88145,0.8425,0.91855,0.67714,0.94173,0.6438,1.08247,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,920.022,0.99667,0.71517,1.12147,0.89117,0.86557,0.92907,0.67698,0.96143,0.6116,1.08902,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,969.521,0.99153,0.70871,1.11912,0.89246,0.8766,0.93773,0.70598,0.88899,0.58293,1.04568,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1019.67,0.97375,0.69566,1.11016,0.90299,0.87658,0.94085,0.70211,0.92069,0.57602,1.06008,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1070.16,0.96259,0.68671,1.10643,0.91308,0.88282,0.94727,0.71306,0.89124,0.55025,1.04815,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1120.65,0.96205,0.68235,1.1058,0.88952,0.88652,0.94206,0.69917,0.92222,0.56755,1.06139,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1171.03,0.96577,0.67872,1.10632,0.9163,0.88023,0.94638,0.71584,0.88332,0.54956,1.04373,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1220.7,0.9489,0.66178,1.09817,0.92448,0.87681,0.95015,0.72087,0.88073,0.53253,1.03296,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
