epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,105.354,1.18494,1.10611,1.2799,0.83738,0.81281,0.87902,0.60005,1.07109,0.78182,1.15961,0.00997826,0.00332609,0.00997826,0.00332609,0.00997826,0.00332609,0.00997826,0.00332609
2,194.648,1.11948,0.86933,1.18122,0.83202,0.7701,0.85533,0.55887,1.12913,0.92607,1.19347,0.0197805,0.00659349,0.0197805,0.00659349,0.0197805,0.00659349,0.0197805,0.00659349
3,282.792,1.19725,0.98825,1.23158,0.73817,0.68919,0.74755,0.43282,1.42155,1.25191,1.4111,0.0293847,0.0097949,0.0293847,0.0097949,0.0293847,0.0097949,0.0293847,0.0097949
4,370.509,1.24177,1.05196,1.27197,0.83003,0.7826,0.85952,0.56263,1.1705,0.90614,1.25103,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,457.723,1.19954,0.98638,1.25355,0.83199,0.78506,0.86634,0.58088,1.13598,0.86418,1.20279,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,545.283,1.15471,0.93167,1.22993,0.84526,0.78924,0.87724,0.60738,1.07547,0.8416,1.18085,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,633.628,1.12054,0.87367,1.20493,0.88097,0.85209,0.92022,0.64864,1.02578,0.68328,1.14541,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,720.932,1.10473,0.84156,1.19252,0.8999,0.84191,0.92438,0.66472,0.99116,0.66898,1.12877,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,810.202,1.07455,0.81224,1.18016,0.89533,0.8652,0.93105,0.67834,0.9523,0.64651,1.09756,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,899.539,1.05342,0.78279,1.16621,0.88367,0.85652,0.92875,0.67794,0.95916,0.64403,1.10468,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,987.762,1.03681,0.76596,1.15752,0.89454,0.86262,0.93405,0.67696,0.95479,0.61653,1.09784,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1075.52,1.02375,0.74317,1.14705,0.90579,0.87202,0.94096,0.69177,0.93754,0.59941,1.08077,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1162.99,1.00039,0.72424,1.13876,0.9067,0.88239,0.94405,0.70112,0.91967,0.57903,1.07781,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1250.99,0.99327,0.70926,1.13428,0.9133,0.88023,0.94714,0.71065,0.90664,0.56939,1.0698,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1339.61,0.97817,0.69349,1.1271,0.90443,0.88398,0.94498,0.71573,0.88184,0.56614,1.04127,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1427.23,0.97052,0.68482,1.1158,0.90095,0.88899,0.9472,0.71279,0.90318,0.5595,1.05664,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1514.9,0.96907,0.68119,1.11526,0.91165,0.87817,0.94551,0.71847,0.87339,0.5535,1.03684,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1602.56,0.95476,0.66703,1.10986,0.91317,0.89249,0.95258,0.72336,0.88007,0.53428,1.04337,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1690.5,0.93994,0.65203,1.1017,0.91163,0.89338,0.95363,0.72604,0.87189,0.52004,1.03537,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1778.6,0.93225,0.64447,1.09852,0.90939,0.9019,0.95556,0.73,0.85919,0.52226,1.0323,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1866.59,0.92094,0.62768,1.09175,0.9137,0.90226,0.9575,0.73473,0.85425,0.50234,1.02795,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1954.35,0.91998,0.6306,1.08909,0.91206,0.90314,0.95395,0.73273,0.84838,0.50899,1.02386,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2041.93,0.90982,0.62072,1.08496,0.91521,0.90685,0.95984,0.74472,0.82539,0.495,1.00887,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2129.66,0.90325,0.61163,1.0856,0.91457,0.9012,0.95716,0.73738,0.83464,0.50204,1.02819,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2217.78,0.90117,0.61439,1.08197,0.91784,0.90449,0.96095,0.74448,0.83111,0.49262,1.01259,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2305.46,0.88493,0.59802,1.07013,0.91752,0.90726,0.9586,0.74443,0.83067,0.48394,1.01473,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2393.41,0.88531,0.59682,1.07199,0.9252,0.9091,0.96142,0.75212,0.82002,0.47632,1.01233,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2482.1,0.87217,0.58606,1.06681,0.91733,0.91128,0.96153,0.75508,0.8066,0.47464,1.00613,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2569.88,0.87084,0.58606,1.06475,0.92507,0.90945,0.96222,0.75124,0.81442,0.47311,1.00542,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2658.83,0.86149,0.5734,1.06166,0.92785,0.9111,0.96287,0.76155,0.7914,0.45672,0.99506,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2747.54,0.85679,0.56399,1.05198,0.92091,0.90977,0.96174,0.75693,0.79837,0.46214,0.99669,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2835.32,0.85492,0.56334,1.0539,0.92552,0.91791,0.96284,0.76037,0.7973,0.45207,1.00122,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2923.5,0.85812,0.57167,1.06226,0.93138,0.91062,0.9624,0.75892,0.80371,0.45093,1.00857,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3011.59,0.84661,0.55625,1.05119,0.92279,0.91285,0.96369,0.76003,0.79556,0.44865,0.99628,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3100.54,0.84548,0.55221,1.05296,0.92615,0.91505,0.96368,0.76417,0.78391,0.44814,0.99333,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3188.41,0.84094,0.54791,1.0459,0.93206,0.91398,0.96525,0.76702,0.78279,0.43745,0.98377,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3276.66,0.82997,0.5373,1.04078,0.9262,0.91843,0.96493,0.76803,0.78051,0.43858,0.98337,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3364.99,0.82737,0.53684,1.03713,0.92526,0.91567,0.96393,0.76864,0.77408,0.43893,0.9722,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3453.23,0.82358,0.52958,1.03674,0.92537,0.91834,0.96465,0.77237,0.76637,0.43291,0.9791,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3541.48,0.82225,0.52848,1.04018,0.93277,0.90965,0.96266,0.76895,0.77628,0.43463,0.98184,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3629.71,0.8146,0.5236,1.03519,0.9302,0.9146,0.96509,0.77061,0.7753,0.43117,0.98416,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3718.11,0.8064,0.52087,1.03216,0.92243,0.92471,0.96482,0.7705,0.77175,0.43102,0.98047,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3806.36,0.80566,0.51697,1.03064,0.92475,0.92045,0.96593,0.77275,0.76569,0.42505,0.97819,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3894.54,0.8027,0.51287,1.02657,0.92996,0.91791,0.9641,0.77574,0.75574,0.42108,0.97611,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
